RadioId;Experiment;Room;TrackerId;ObjectId;Xr;Yr;Zr;Xrgt;Yrgt;Zrgt
1;1_2_3;LivingRoom;D;Chair;-1.139;-0.224;0.982;-1.244;-0.377;0.557
2;1_2_3;LivingRoom;E;Table.001;-1.745;2.463;-3.108;-1.196;0.731;0.348
3;1_2_3;LivingRoom;F;Vase.006;-1.941;-0.682;0.967;-2.09;-0.953;0.866
4;1_2_3;Bathroom;G;Sink;-4.495;-0.842;0.745;-4.68;-0.967;0.726
5;1_2_3;Bathroom;H;Toilet;-5.529;-0.038;0.161;-5.983;-0.403;0.467
6;1_2_3;Kitchen;I;Sink.001;-8.89;3.576;0.292;-8.803;3.63;0.708
7;1_2_3;Kitchen;J;Shelf.003;-7.39;2.703;1.803;-7.674;2.667;1.837
8;1_2_3;Bedroom;K;Lamp.019;-7.592;0.058;0.14;-7.726;0.053;0.348
9;2_3_4;LivingRoom;D;Chair;-1.13;-0.249;1.032;-1.244;-0.377;0.557
10;2_3_4;LivingRoom;E;Table.001;-1.249;0.754;0.324;-1.196;0.731;0.348
11;2_3_4;LivingRoom;F;Vase.006;-1.956;-0.742;0.981;-2.09;-0.953;0.866
12;2_3_4;Bathroom;G;Sink;-4.473;-0.845;0.77;-4.68;-0.967;0.726
13;2_3_4;Bathroom;H;Toilet;-5.559;-0.035;0.127;-5.983;-0.403;0.467
14;2_3_4;Kitchen;I;Sink.001;-8.89;3.558;0.271;-8.803;3.63;0.708
15;2_3_4;Kitchen;J;Shelf.003;-7.383;2.707;1.815;-7.674;2.667;1.837
16;2_3_4;Bedroom;K;Lamp.019;-7.6;0.056;0.144;-7.726;0.053;0.348
17;3_4_5;LivingRoom;D;Chair;-1.124;-0.242;0.969;-1.244;-0.377;0.557
18;3_4_5;LivingRoom;E;Table.001;-1.256;0.755;0.467;-1.196;0.731;0.348
19;3_4_5;LivingRoom;F;Vase.006;-1.99;-0.775;1;-2.09;-0.953;0.866
20;3_4_5;Bathroom;G;Sink;-4.48;-0.844;0.761;-4.68;-0.967;0.726
21;3_4_5;Bathroom;H;Toilet;-5.576;-0.05;0.134;-5.983;-0.403;0.467
22;3_4_5;Kitchen;I;Sink.001;-8.891;3.552;0.265;-8.803;3.63;0.708
23;3_4_5;Kitchen;J;Shelf.003;-7.382;2.705;1.831;-7.674;2.667;1.837
24;3_4_5;Bedroom;K;Lamp.019;-7.618;0.071;0.165;-7.726;0.053;0.348
25;4_5_6;LivingRoom;D;Chair;-1.138;-0.288;0.927;-1.244;-0.377;0.557
26;4_5_6;LivingRoom;E;Table.001;-1.404;1.403;-0.864;-1.196;0.731;0.348
27;4_5_6;LivingRoom;F;Vase.006;-5.599;-0.021;2.66;-2.09;-0.953;0.866
28;4_5_6;Bathroom;G;Sink;-4.48;-0.841;0.768;-4.68;-0.967;0.726
29;4_5_6;Bathroom;H;Toilet;-5.595;-0.024;0.097;-5.983;-0.403;0.467
30;4_5_6;Kitchen;I;Sink.001;-8.898;3.559;0.311;-8.803;3.63;0.708
31;4_5_6;Kitchen;J;Shelf.003;-7.373;2.697;1.821;-7.674;2.667;1.837
32;4_5_6;Bedroom;K;Lamp.019;-7.61;0.064;0.17;-7.726;0.053;0.348
33;5_6_7;LivingRoom;D;Chair;-1.067;-0.311;0.334;-1.244;-0.377;0.557
34;5_6_7;LivingRoom;E;Table.001;-1.25;0.787;0.604;-1.196;0.731;0.348
35;5_6_7;LivingRoom;F;Vase.006;-2.097;-0.754;0.955;-2.09;-0.953;0.866
36;5_6_7;Bathroom;G;Sink;-4.482;-0.837;0.764;-4.68;-0.967;0.726
37;5_6_7;Bathroom;H;Toilet;-5.566;-0.032;0.152;-5.983;-0.403;0.467
38;5_6_7;Kitchen;I;Sink.001;-8.919;3.573;0.295;-8.803;3.63;0.708
39;5_6_7;Kitchen;J;Shelf.003;-7.365;2.703;1.838;-7.674;2.667;1.837
40;5_6_7;Bedroom;K;Lamp.019;-7.629;0.047;0.197;-7.726;0.053;0.348
41;6_7_8;LivingRoom;D;Chair;-1.146;-0.244;1.044;-1.244;-0.377;0.557
42;6_7_8;LivingRoom;E;Table.001;-1.78;2.961;0.661;-1.196;0.731;0.348
43;6_7_8;LivingRoom;F;Vase.006;-2.073;-0.689;0.983;-2.09;-0.953;0.866
44;6_7_8;Bathroom;G;Sink;-4.502;-0.842;0.75;-4.68;-0.967;0.726
45;6_7_8;Bathroom;H;Toilet;-5.535;-0.054;0.167;-5.983;-0.403;0.467
46;6_7_8;Kitchen;I;Sink.001;-8.918;3.652;0.457;-8.803;3.63;0.708
47;6_7_8;Kitchen;J;Shelf.003;-7.374;2.722;1.842;-7.674;2.667;1.837
48;6_7_8;Bedroom;K;Lamp.019;-7.621;0.059;0.174;-7.726;0.053;0.348
49;7_8_9;LivingRoom;D;Chair;-1.15;-0.236;0.946;-1.244;-0.377;0.557
50;7_8_9;LivingRoom;E;Table.001;-1.257;0.793;0.465;-1.196;0.731;0.348
51;7_8_9;LivingRoom;F;Vase.006;-1.977;-0.733;0.982;-2.09;-0.953;0.866
52;7_8_9;Bathroom;G;Sink;-4.475;-0.835;0.765;-4.68;-0.967;0.726
53;7_8_9;Bathroom;H;Toilet;-5.552;-0.032;0.155;-5.983;-0.403;0.467
54;7_8_9;Kitchen;I;Sink.001;-8.952;3.741;0.599;-8.803;3.63;0.708
55;7_8_9;Kitchen;J;Shelf.003;-7.367;2.711;1.829;-7.674;2.667;1.837
56;7_8_9;Bedroom;K;Lamp.019;-7.611;0.062;0.161;-7.726;0.053;0.348
57;8_9_10;LivingRoom;D;Chair;-1.14;-0.265;0.86;-1.244;-0.377;0.557
58;8_9_10;LivingRoom;E;Table.001;-1.252;0.75;0.446;-1.196;0.731;0.348
59;8_9_10;LivingRoom;F;Vase.006;-2.002;-0.775;0.964;-2.09;-0.953;0.866
60;8_9_10;Bathroom;G;Sink;-4.491;-0.837;0.762;-4.68;-0.967;0.726
61;8_9_10;Bathroom;H;Toilet;-5.519;-0.061;0.195;-5.983;-0.403;0.467
62;8_9_10;Kitchen;I;Sink.001;-8.924;3.668;0.5;-8.803;3.63;0.708
63;8_9_10;Kitchen;J;Shelf.003;-7.363;2.711;1.831;-7.674;2.667;1.837
64;8_9_10;Bedroom;K;Lamp.019;-7.607;0.063;0.174;-7.726;0.053;0.348
65;9_10_11;LivingRoom;D;Chair;-1.124;-0.238;0.966;-1.244;-0.377;0.557
66;9_10_11;LivingRoom;E;Table.001;-1.254;0.759;0.389;-1.196;0.731;0.348
67;9_10_11;LivingRoom;F;Vase.006;-1.965;-0.725;1.071;-2.09;-0.953;0.866
68;9_10_11;Bathroom;G;Sink;-4.49;-0.837;0.747;-4.68;-0.967;0.726
69;9_10_11;Bathroom;H;Toilet;-5.551;-0.05;0.161;-5.983;-0.403;0.467
70;9_10_11;Kitchen;I;Sink.001;-9.086;3.605;0.393;-8.803;3.63;0.708
71;9_10_11;Kitchen;J;Shelf.003;-7.346;2.673;1.789;-7.674;2.667;1.837
72;9_10_11;Bedroom;K;Lamp.019;-7.612;0.061;0.162;-7.726;0.053;0.348
73;10_11_12;LivingRoom;D;Chair;-1.134;-0.24;0.954;-1.244;-0.377;0.557
74;10_11_12;LivingRoom;E;Table.001;-1.257;0.78;0.393;-1.196;0.731;0.348
75;10_11_12;LivingRoom;F;Vase.006;-1.965;-0.725;1.023;-2.09;-0.953;0.866
76;10_11_12;Bathroom;G;Sink;-4.48;-0.839;0.768;-4.68;-0.967;0.726
77;10_11_12;Bathroom;H;Toilet;-5.536;-0.03;0.153;-5.983;-0.403;0.467
78;10_11_12;Kitchen;I;Sink.001;-9.017;3.633;0.451;-8.803;3.63;0.708
79;10_11_12;Kitchen;J;Shelf.003;-7.347;2.681;1.806;-7.674;2.667;1.837
80;10_11_12;Bedroom;K;Lamp.019;-7.626;0.049;0.182;-7.726;0.053;0.348
81;11_12_13;LivingRoom;D;Chair;-1.13;-0.243;0.978;-1.244;-0.377;0.557
82;11_12_13;LivingRoom;E;Table.001;-1.247;0.781;0.41;-1.196;0.731;0.348
83;11_12_13;LivingRoom;F;Vase.006;-1.983;-0.736;1.027;-2.09;-0.953;0.866
84;11_12_13;Bathroom;G;Sink;-4.464;-0.846;0.803;-4.68;-0.967;0.726
85;11_12_13;Bathroom;H;Toilet;-5.547;-0.043;0.148;-5.983;-0.403;0.467
86;11_12_13;Kitchen;I;Sink.001;-9.001;3.646;0.493;-8.803;3.63;0.708
87;11_12_13;Kitchen;J;Shelf.003;-7.368;2.688;1.799;-7.674;2.667;1.837
88;11_12_13;Bedroom;K;Lamp.019;-7.622;0.062;0.173;-7.726;0.053;0.348
89;12_13_14;LivingRoom;D;Chair;-1.107;-0.259;0.89;-1.244;-0.377;0.557
90;12_13_14;LivingRoom;E;Table.001;-1.232;0.744;0.449;-1.196;0.731;0.348
91;12_13_14;LivingRoom;F;Vase.006;-1.963;-0.764;0.968;-2.09;-0.953;0.866
92;12_13_14;Bathroom;G;Sink;-4.519;-0.859;0.823;-4.68;-0.967;0.726
93;12_13_14;Bathroom;H;Toilet;-5.541;0.021;0.123;-5.983;-0.403;0.467
94;12_13_14;Kitchen;I;Sink.001;-9.067;3.645;0.478;-8.803;3.63;0.708
95;12_13_14;Kitchen;J;Shelf.003;-7.378;2.705;1.876;-7.674;2.667;1.837
96;12_13_14;Bedroom;K;Lamp.019;-7.618;0.056;0.161;-7.726;0.053;0.348
97;13_14_15;LivingRoom;D;Chair;-1.188;-0.26;0.812;-1.244;-0.377;0.557
98;13_14_15;LivingRoom;E;Table.001;-1.208;0.84;0.376;-1.196;0.731;0.348
99;13_14_15;LivingRoom;F;Vase.006;-1.952;-0.753;1.04;-2.09;-0.953;0.866
100;13_14_15;Bathroom;G;Sink;-4.197;-0.776;0.95;-4.68;-0.967;0.726
101;13_14_15;Bathroom;H;Toilet;-5.336;-0.032;0.369;-5.983;-0.403;0.467
102;13_14_15;Kitchen;I;Sink.001;-8.971;3.575;0.384;-8.803;3.63;0.708
103;13_14_15;Kitchen;J;Shelf.003;-7.386;2.774;1.96;-7.674;2.667;1.837
